customer_id	customer_code	signup_date	gender	age_band	city	state	acquisition_channel	customer_status	has_eligible_purchase	eligible_order_count	monetary_value	first_eligible_order_date	last_eligible_order_date	recency_days	reference_date	eligibility_rule_applied
65	CUST-00065	2023-06-27	Male	25-34	Denver	CO	Paid Search	Inactive	1	7	11478.88	2024-01-28	2025-12-19	12	2025-12-31	is_eligible = 1 AND order_date >= signup_date
66	CUST-00066	2025-02-12	Female	45-54	Columbus	OH	Organic Search	Active	1	8	12559.31	2025-07-07	2025-11-29	32	2025-12-31	is_eligible = 1 AND order_date >= signup_date
67	CUST-00067	2023-11-28	Female	25-34	Charlotte	NC	Organic Search	Inactive	1	6	5914.11	2024-07-28	2025-09-11	111	2025-12-31	is_eligible = 1 AND order_date >= signup_date
68	CUST-00068	2023-10-10	Female	65+	Phoenix	AZ	Organic Search	Active	1	7	7077.84	2024-06-09	2025-08-13	140	2025-12-31	is_eligible = 1 AND order_date >= signup_date
69	CUST-00069	2025-08-26	Male	35-44	Chicago	IL	Paid Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
70	CUST-00070	2024-10-24	Male	35-44	Los Angeles	CA	Organic Search	Active	1	2	1814.03	2025-04-11	2025-11-30	31	2025-12-31	is_eligible = 1 AND order_date >= signup_date
71	CUST-00071	2023-11-24	Female	45-54	Chicago	IL	Direct	Inactive	1	1	649.66	2024-04-29	2024-04-29	611	2025-12-31	is_eligible = 1 AND order_date >= signup_date
72	CUST-00072	2025-07-26	Female	18-24	Atlanta	GA	Paid Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
73	CUST-00073	2024-09-21	Male	45-54	Phoenix	AZ	Organic Search	Inactive	1	7	11863.73	2024-10-16	2025-12-12	19	2025-12-31	is_eligible = 1 AND order_date >= signup_date
74	CUST-00074	2023-08-25	Female	45-54	New York	NY	Referral	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
75	CUST-00075	2023-06-19	Female	45-54	San Antonio	TX	Direct	Active	1	1	650.20	2024-03-03	2024-03-03	668	2025-12-31	is_eligible = 1 AND order_date >= signup_date
76	CUST-00076	2025-01-26	Male	45-54	Houston	TX	Paid Search	Active	1	2	1103.74	2025-04-13	2025-10-04	88	2025-12-31	is_eligible = 1 AND order_date >= signup_date
77	CUST-00077	2025-08-10	Female	25-34	Las Vegas	NV	Paid Search	Active	1	1	799.62	2025-11-27	2025-11-27	34	2025-12-31	is_eligible = 1 AND order_date >= signup_date
78	CUST-00078	2024-11-03	Male	35-44	Miami	FL	Organic Search	Active	1	11	12198.74	2025-01-25	2025-12-27	4	2025-12-31	is_eligible = 1 AND order_date >= signup_date
79	CUST-00079	2023-09-13	Male	55-64	Charlotte	NC	Paid Search	Active	1	1	703.63	2024-02-29	2024-02-29	671	2025-12-31	is_eligible = 1 AND order_date >= signup_date
80	CUST-00080	2025-11-10	Female	45-54	San Antonio	TX	Organic Search	Active	1	7	14980.20	2025-11-24	2025-12-28	3	2025-12-31	is_eligible = 1 AND order_date >= signup_date
81	CUST-00081	2023-12-02	Male	65+	New York	NY	Social Media	Active	1	1	1754.95	2024-06-24	2024-06-24	555	2025-12-31	is_eligible = 1 AND order_date >= signup_date
82	CUST-00082	2024-10-04	Male	65+	Houston	TX	Organic Search	Inactive	1	2	4610.14	2024-12-28	2025-05-07	238	2025-12-31	is_eligible = 1 AND order_date >= signup_date
83	CUST-00083	2025-09-21	Male	25-34	Dallas	TX	Paid Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
84	CUST-00084	2025-05-17	Prefer not to say	45-54	Philadelphia	PA	Organic Search	Active	1	2	2177.14	2025-05-27	2025-07-11	173	2025-12-31	is_eligible = 1 AND order_date >= signup_date
85	CUST-00085	2024-09-04	Prefer not to say	45-54	Seattle	WA	Paid Search	Active	1	2	772.48	2024-10-25	2025-08-30	123	2025-12-31	is_eligible = 1 AND order_date >= signup_date
86	CUST-00086	2023-09-20	Female	55-64	Houston	TX	Organic Search	Active	1	2	1046.48	2025-03-26	2025-07-13	171	2025-12-31	is_eligible = 1 AND order_date >= signup_date
87	CUST-00087	2024-05-03	Female	55-64	Las Vegas	NV	Organic Search	Active	1	1	739.48	2025-04-22	2025-04-22	253	2025-12-31	is_eligible = 1 AND order_date >= signup_date
88	CUST-00088	2024-08-29	Female	25-34	Seattle	WA	Paid Search	Active	1	8	8446.31	2024-09-17	2025-12-18	13	2025-12-31	is_eligible = 1 AND order_date >= signup_date
89	CUST-00089	2023-07-13	Female	18-24	Nashville	TN	Paid Search	Active	1	6	9858.64	2024-04-07	2025-12-14	17	2025-12-31	is_eligible = 1 AND order_date >= signup_date
90	CUST-00090	2024-02-08	Male	25-34	Philadelphia	PA	Referral	Active	1	1	1395.87	2025-05-01	2025-05-01	244	2025-12-31	is_eligible = 1 AND order_date >= signup_date
91	CUST-00091	2023-06-06	Female	35-44	Phoenix	AZ	Organic Search	Active	1	2	5107.74	2025-05-19	2025-08-31	122	2025-12-31	is_eligible = 1 AND order_date >= signup_date
92	CUST-00092	2023-12-24	Male	35-44	San Jose	CA	Paid Search	Active	1	1	1383.93	2024-02-21	2024-02-21	679	2025-12-31	is_eligible = 1 AND order_date >= signup_date
93	CUST-00093	2025-07-15	Female	18-24	Charlotte	NC	Referral	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
94	CUST-00094	2024-09-29	Female	18-24	Miami	FL	Referral	Active	1	7	14061.08	2024-11-10	2025-06-25	189	2025-12-31	is_eligible = 1 AND order_date >= signup_date
95	CUST-00095	2023-11-21	Female	25-34	Denver	CO	Paid Search	Active	1	1	2053.91	2024-02-12	2024-02-12	688	2025-12-31	is_eligible = 1 AND order_date >= signup_date
96	CUST-00096	2023-11-02	Female	55-64	Chicago	IL	Organic Search	Active	1	1	252.08	2024-08-06	2024-08-06	512	2025-12-31	is_eligible = 1 AND order_date >= signup_date
97	CUST-00097	2023-09-04	Male	25-34	Fort Worth	TX	Social Media	Active	1	1	1021.90	2024-04-15	2024-04-15	625	2025-12-31	is_eligible = 1 AND order_date >= signup_date
98	CUST-00098	2024-01-01	Male	25-34	Seattle	WA	Organic Search	Active	1	1	1153.40	2024-06-05	2024-06-05	574	2025-12-31	is_eligible = 1 AND order_date >= signup_date
99	CUST-00099	2024-08-21	Female	55-64	Los Angeles	CA	Social Media	Active	1	13	17339.21	2024-10-08	2025-12-22	9	2025-12-31	is_eligible = 1 AND order_date >= signup_date
100	CUST-00100	2024-12-29	Female	25-34	Jacksonville	FL	Direct	Active	1	6	7940.69	2025-05-09	2025-12-11	20	2025-12-31	is_eligible = 1 AND order_date >= signup_date
101	CUST-00101	2025-07-10	Female	25-34	Boston	MA	Referral	Active	1	1	349.71	2025-11-06	2025-11-06	55	2025-12-31	is_eligible = 1 AND order_date >= signup_date
102	CUST-00102	2024-08-14	Female	18-24	Portland	OR	Paid Search	Active	1	1	734.56	2025-01-20	2025-01-20	345	2025-12-31	is_eligible = 1 AND order_date >= signup_date
103	CUST-00103	2024-10-09	Male	25-34	Los Angeles	CA	Organic Search	Active	1	1	1258.39	2025-04-21	2025-04-21	254	2025-12-31	is_eligible = 1 AND order_date >= signup_date
104	CUST-00104	2024-08-22	Female	18-24	Las Vegas	NV	Paid Search	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
105	CUST-00105	2023-09-11	Prefer not to say	35-44	Chicago	IL	Direct	Active	1	13	13943.66	2024-05-12	2025-11-20	41	2025-12-31	is_eligible = 1 AND order_date >= signup_date
106	CUST-00106	2023-07-17	Female	45-54	Philadelphia	PA	Paid Search	Active	1	7	18380.44	2024-01-30	2025-08-05	148	2025-12-31	is_eligible = 1 AND order_date >= signup_date
107	CUST-00107	2025-09-01	Male	45-54	Los Angeles	CA	Referral	Active	1	1	345.36	2025-10-07	2025-10-07	85	2025-12-31	is_eligible = 1 AND order_date >= signup_date
108	CUST-00108	2025-02-20	Male	25-34	Atlanta	GA	Paid Search	Active	1	2	2043.57	2025-03-29	2025-11-06	55	2025-12-31	is_eligible = 1 AND order_date >= signup_date
109	CUST-00109	2023-07-15	Male	25-34	Philadelphia	PA	Organic Search	Active	1	1	3909.22	2024-05-31	2024-05-31	579	2025-12-31	is_eligible = 1 AND order_date >= signup_date
110	CUST-00110	2023-07-29	Female	45-54	Chicago	IL	Direct	Active	1	1	2720.83	2024-03-24	2024-03-24	647	2025-12-31	is_eligible = 1 AND order_date >= signup_date
111	CUST-00111	2024-05-01	Female	25-34	Phoenix	AZ	Social Media	Active	1	2	3347.28	2025-03-11	2025-06-10	204	2025-12-31	is_eligible = 1 AND order_date >= signup_date
112	CUST-00112	2023-09-09	Female	25-34	San Diego	CA	Paid Search	Inactive	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
113	CUST-00113	2024-02-10	Female	25-34	Nashville	TN	Referral	Active	1	1	947.96	2024-05-02	2024-05-02	608	2025-12-31	is_eligible = 1 AND order_date >= signup_date
114	CUST-00114	2024-06-25	Male	35-44	Los Angeles	CA	Organic Search	Active	1	7	14115.80	2024-09-03	2025-12-16	15	2025-12-31	is_eligible = 1 AND order_date >= signup_date
115	CUST-00115	2023-06-02	Female	35-44	Philadelphia	PA	Paid Search	Active	1	12	15064.38	2024-01-29	2025-10-31	61	2025-12-31	is_eligible = 1 AND order_date >= signup_date
116	CUST-00116	2023-06-23	Female	45-54	Atlanta	GA	Organic Search	Active	1	1	1374.05	2024-02-07	2024-02-07	693	2025-12-31	is_eligible = 1 AND order_date >= signup_date
117	CUST-00117	2023-10-22	Female	45-54	Los Angeles	CA	Organic Search	Active	1	1	3185.22	2024-04-21	2024-04-21	619	2025-12-31	is_eligible = 1 AND order_date >= signup_date
118	CUST-00118	2024-12-28	Female	18-24	Austin	TX	Social Media	Active	1	2	2102.15	2025-05-03	2025-12-23	8	2025-12-31	is_eligible = 1 AND order_date >= signup_date
119	CUST-00119	2023-08-19	Female	45-54	San Antonio	TX	Direct	Active	1	6	17185.93	2024-03-25	2025-09-10	112	2025-12-31	is_eligible = 1 AND order_date >= signup_date
120	CUST-00120	2023-09-13	Female	35-44	Chicago	IL	Organic Search	Active	1	2	5113.74	2024-03-15	2025-01-13	352	2025-12-31	is_eligible = 1 AND order_date >= signup_date
121	CUST-00121	2024-12-31	Male	18-24	Phoenix	AZ	Paid Search	Active	1	14	30472.74	2025-04-07	2025-12-16	15	2025-12-31	is_eligible = 1 AND order_date >= signup_date
122	CUST-00122	2024-11-16	Female	55-64	San Antonio	TX	Organic Search	Active	1	1	1059.17	2025-03-03	2025-03-03	303	2025-12-31	is_eligible = 1 AND order_date >= signup_date
123	CUST-00123	2025-01-14	Male	45-54	Portland	OR	Organic Search	Active	1	2	4249.14	2025-02-02	2025-10-05	87	2025-12-31	is_eligible = 1 AND order_date >= signup_date
124	CUST-00124	2025-02-06	Female	25-34	Jacksonville	FL	Paid Search	Inactive	1	8	5765.92	2025-03-16	2025-11-03	58	2025-12-31	is_eligible = 1 AND order_date >= signup_date
125	CUST-00125	2025-01-10	Male	35-44	Atlanta	GA	Social Media	Active	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
126	CUST-00126	2025-05-28	Female	18-24	Columbus	OH	Email	Inactive	0	0	0.00	NULL	NULL	NULL	2025-12-31	is_eligible = 1 AND order_date >= signup_date
127	CUST-00127	2024-02-02	Male	35-44	Charlotte	NC	Paid Search	Active	1	6	4083.63	2024-03-05	2025-08-24	129	2025-12-31	is_eligible = 1 AND order_date >= signup_date
128	CUST-00128	2024-06-08	Female	55-64	Nashville	TN	Paid Search	Active	1	7	7301.66	2024-09-11	2025-12-04	27	2025-12-31	is_eligible = 1 AND order_date >= signup_date
129	CUST-00129	2023-12-09	Male	45-54	Denver	CO	Email	Active	1	1	710.62	2024-05-12	2024-05-12	598	2025-12-31	is_eligible = 1 AND order_date >= signup_date
130	CUST-00130	2023-07-02	Female	55-64	New York	NY	Direct	Active	1	8	17300.57	2024-04-05	2025-10-05	87	2025-12-31	is_eligible = 1 AND order_date >= signup_date
131	CUST-00131	2023-08-13	Female	35-44	Dallas	TX	Organic Search	Active	1	1	1631.30	2024-08-16	2024-08-16	502	2025-12-31	is_eligible = 1 AND order_date >= signup_date
132	CUST-00132	2023-12-21	Female	45-54	Washington	DC	Direct	Active	1	1	1634.57	2024-01-12	2024-01-12	719	2025-12-31	is_eligible = 1 AND order_date >= signup_date
133	CUST-00133	2025-05-30	Female	45-54	Austin	TX	Organic Search	Active	1	2	1807.04	2025-05-30	2025-07-16	168	2025-12-31	is_eligible = 1 AND order_date >= signup_date
134	CUST-00134	2024-03-17	Male	25-34	Denver	CO	Referral	Active	1	1	1673.28	2024-04-04	2024-04-04	636	2025-12-31	is_eligible = 1 AND order_date >= signup_date
135	CUST-00135	2025-04-23	Female	25-34	Houston	TX	Paid Search	Inactive	1	7	14806.76	2025-05-30	2025-12-20	11	2025-12-31	is_eligible = 1 AND order_date >= signup_date
136	CUST-00136	2024-03-23	Male	25-34	Austin	TX	Social Media	Active	1	12	22873.68	2024-05-22	2025-12-17	14	2025-12-31	is_eligible = 1 AND order_date >= signup_date
137	CUST-00137	2023-07-16	Female	55-64	New York	NY	Organic Search	Active	1	1	1290.11	2025-08-09	2025-08-09	144	2025-12-31	is_eligible = 1 AND order_date >= signup_date
138	CUST-00138	2025-06-16	Female	35-44	San Antonio	TX	Email	Active	1	12	16760.67	2025-08-02	2025-12-26	5	2025-12-31	is_eligible = 1 AND order_date >= signup_date
139	CUST-00139	2023-11-13	Female	45-54	San Jose	CA	Email	Active	1	2	2455.93	2024-04-21	2025-12-09	22	2025-12-31	is_eligible = 1 AND order_date >= signup_date
140	CUST-00140	2024-07-21	Female	25-34	Los Angeles	CA	Social Media	Active	1	11	8521.58	2024-11-15	2025-12-25	6	2025-12-31	is_eligible = 1 AND order_date >= signup_date
141	CUST-00141	2024-03-02	Male	55-64	Atlanta	GA	Paid Search	Active	1	5	6772.26	2024-05-14	2025-10-31	61	2025-12-31	is_eligible = 1 AND order_date >= signup_date
142	CUST-00142	2025-09-15	Non-binary	55-64	Houston	TX	Paid Search	Inactive	1	12	19037.22	2025-09-18	2025-12-13	18	2025-12-31	is_eligible = 1 AND order_date >= signup_date
143	CUST-00143	2024-07-27	Female	45-54	Austin	TX	Email	Active	1	7	16248.62	2024-09-14	2025-12-23	8	2025-12-31	is_eligible = 1 AND order_date >= signup_date
144	CUST-00144	2023-10-06	Female	55-64	New York	NY	Direct	Active	1	1	616.72	2025-02-27	2025-02-27	307	2025-12-31	is_eligible = 1 AND order_date >= signup_date
145	CUST-00145	2024-05-08	Female	25-34	Portland	OR	Paid Search	Active	1	8	6809.20	2024-06-24	2025-11-05	56	2025-12-31	is_eligible = 1 AND order_date >= signup_date
146	CUST-00146	2025-07-11	Male	25-34	Nashville	TN	Email	Active	1	13	24850.84	2025-07-30	2025-12-28	3	2025-12-31	is_eligible = 1 AND order_date >= signup_date
147	CUST-00147	2024-11-25	Female	25-34	San Jose	CA	Email	Active	1	10	11529.88	2025-02-09	2025-12-18	13	2025-12-31	is_eligible = 1 AND order_date >= signup_date
148	CUST-00148	2024-08-13	Male	25-34	Los Angeles	CA	Paid Search	Active	1	6	7663.15	2024-11-10	2025-08-17	136	2025-12-31	is_eligible = 1 AND order_date >= signup_date
149	CUST-00149	2023-12-26	Female	35-44	Washington	DC	Referral	Active	1	1	925.95	2024-05-21	2024-05-21	589	2025-12-31	is_eligible = 1 AND order_date >= signup_date
