order_month	eligible_orders	monthly_active_customers	new_customers	returning_customers	monthly_repeat_customer_rate	eligible_revenue	average_order_value
2024-01-01	459	436	436	0	0.00	802889.32	1749.21
2024-02-01	523	491	434	57	11.61	839214.43	1604.62
2024-03-01	589	553	448	105	18.99	929902.96	1578.78
2024-04-01	644	612	462	150	24.51	1053726.61	1636.22
2024-05-01	756	691	479	212	30.68	1142823.73	1511.67
2024-06-01	764	701	433	268	38.23	1185565.98	1551.79
2024-07-01	651	564	222	342	60.64	987934.06	1517.56
2024-08-01	716	623	236	387	62.12	1193226.56	1666.52
2024-09-01	739	643	221	422	65.63	1181735.48	1599.10
2024-10-01	873	764	242	522	68.32	1351634.44	1548.26
2024-11-01	939	796	226	570	71.61	1448201.60	1542.28
2024-12-01	1080	901	260	641	71.14	1692313.27	1566.96
2025-01-01	1223	1027	267	760	74.00	1957249.73	1600.37
2025-02-01	1205	1011	258	753	74.48	1823306.55	1513.12
2025-03-01	1433	1171	280	891	76.09	2112726.27	1474.34
2025-04-01	1596	1316	345	971	73.78	2438223.35	1527.71
2025-05-01	1923	1589	434	1155	72.69	2912681.04	1514.65
2025-06-01	1732	1348	167	1181	87.61	2622832.96	1514.34
2025-07-01	2050	1548	198	1350	87.21	3134311.97	1528.93
2025-08-01	2227	1631	202	1429	87.61	3434467.86	1542.19
2025-09-01	2535	1737	231	1506	86.70	3938207.37	1553.53
2025-10-01	2960	1943	211	1732	89.14	4498209.72	1519.67
2025-11-01	3483	2066	235	1831	88.63	5380204.65	1544.70
2025-12-01	3917	2078	142	1936	93.17	5936398.50	1515.55
cohort_month	elapsed_month	cohort_size	retained_customers	retention_rate	observation_complete
2024-04-01	4	462	62	13.42	1
2024-04-01	5	462	33	7.14	1
2024-04-01	6	462	50	10.82	1
2024-04-01	7	462	48	10.39	1
2024-04-01	8	462	43	9.31	1
2024-04-01	9	462	52	11.26	1
2024-04-01	10	462	42	9.09	1
2024-04-01	11	462	55	11.90	1
2024-04-01	12	462	51	11.04	1
2024-04-01	13	462	55	11.90	1
2024-04-01	14	462	61	13.20	1
2024-04-01	15	462	48	10.39	1
2024-04-01	16	462	56	12.12	1
2024-04-01	17	462	51	11.04	1
2024-04-01	18	462	50	10.82	1
2024-04-01	19	462	45	9.74	1
2024-04-01	20	462	47	10.17	1
2024-05-01	0	479	479	100.00	1
2024-05-01	1	479	46	9.60	1
2024-05-01	2	479	55	11.48	1
2024-05-01	3	479	57	11.90	1
2024-05-01	4	479	52	10.86	1
2024-05-01	5	479	59	12.32	1
2024-05-01	6	479	53	11.06	1
2024-05-01	7	479	64	13.36	1
2024-05-01	8	479	47	9.81	1
2024-05-01	9	479	55	11.48	1
2024-05-01	10	479	69	14.41	1
2024-05-01	11	479	64	13.36	1
2024-05-01	12	479	53	11.06	1
2024-05-01	13	479	62	12.94	1
2024-05-01	14	479	59	12.32	1
2024-05-01	15	479	58	12.11	1
2024-05-01	16	479	56	11.69	1
2024-05-01	17	479	60	12.53	1
2024-05-01	18	479	59	12.32	1
2024-05-01	19	479	65	13.57	1
2024-06-01	0	433	433	100.00	1
2024-06-01	1	433	50	11.55	1
2024-06-01	2	433	54	12.47	1
2024-06-01	3	433	51	11.78	1
2024-06-01	4	433	54	12.47	1
2024-06-01	5	433	60	13.86	1
2024-06-01	6	433	58	13.39	1
2024-06-01	7	433	63	14.55	1
2024-06-01	8	433	57	13.16	1
2024-06-01	9	433	69	15.94	1
2024-06-01	10	433	51	11.78	1
2024-06-01	11	433	67	15.47	1
2024-06-01	12	433	68	15.70	1
2024-06-01	13	433	66	15.24	1
2024-06-01	14	433	58	13.39	1
2024-06-01	15	433	52	12.01	1
2024-06-01	16	433	67	15.47	1
2024-06-01	17	433	68	15.70	1
2024-06-01	18	433	63	14.55	1
2024-07-01	0	222	222	100.00	1
2024-07-01	1	222	52	23.42	1
2024-07-01	2	222	52	23.42	1
2024-07-01	3	222	52	23.42	1
2024-07-01	4	222	66	29.73	1
2024-07-01	5	222	61	27.48	1
2024-07-01	6	222	69	31.08	1
2024-07-01	7	222	60	27.03	1
2024-07-01	8	222	52	23.42	1
2024-07-01	9	222	48	21.62	1
2024-07-01	10	222	69	31.08	1
2024-07-01	11	222	50	22.52	1
2024-07-01	12	222	71	31.98	1
2024-07-01	13	222	57	25.68	1
2024-07-01	14	222	60	27.03	1
2024-07-01	15	222	65	29.28	1
2024-07-01	16	222	67	30.18	1
2024-07-01	17	222	60	27.03	1
2024-08-01	0	236	236	100.00	1
2024-08-01	1	236	59	25.00	1
2024-08-01	2	236	71	30.08	1
2024-08-01	3	236	74	31.36	1
2024-08-01	4	236	68	28.81	1
2024-08-01	5	236	79	33.47	1
2024-08-01	6	236	64	27.12	1
2024-08-01	7	236	68	28.81	1
2024-08-01	8	236	60	25.42	1
2024-08-01	9	236	81	34.32	1
2024-08-01	10	236	70	29.66	1
2024-08-01	11	236	67	28.39	1
2024-08-01	12	236	60	25.42	1
2024-08-01	13	236	63	26.69	1
2024-08-01	14	236	70	29.66	1
2024-08-01	15	236	61	25.85	1
2024-08-01	16	236	61	25.85	1
2024-09-01	0	221	221	100.00	1
2024-09-01	1	221	55	24.89	1
2024-09-01	2	221	44	19.91	1
2024-09-01	3	221	57	25.79	1
2024-09-01	4	221	58	26.24	1
2024-09-01	5	221	58	26.24	1
2024-09-01	6	221	61	27.60	1
2024-09-01	7	221	53	23.98	1
2024-09-01	8	221	68	30.77	1
2024-09-01	9	221	53	23.98	1
2024-09-01	10	221	55	24.89	1
2024-09-01	11	221	56	25.34	1
2024-09-01	12	221	50	22.62	1
2024-09-01	13	221	66	29.86	1
2024-09-01	14	221	77	34.84	1
2024-09-01	15	221	71	32.13	1
2024-10-01	0	242	242	100.00	1
2024-10-01	1	242	60	24.79	1
2024-10-01	2	242	63	26.03	1
2024-10-01	3	242	78	32.23	1
2024-10-01	4	242	58	23.97	1
2024-10-01	5	242	63	26.03	1
2024-10-01	6	242	68	28.10	1
2024-10-01	7	242	63	26.03	1
2024-10-01	8	242	76	31.40	1
2024-10-01	9	242	70	28.93	1
2024-10-01	10	242	68	28.10	1
2024-10-01	11	242	60	24.79	1
2024-10-01	12	242	73	30.17	1
2024-10-01	13	242	64	26.45	1
2024-10-01	14	242	73	30.17	1
2024-11-01	0	226	226	100.00	1
2024-11-01	1	226	42	18.58	1
2024-11-01	2	226	65	28.76	1
2024-11-01	3	226	55	24.34	1
2024-11-01	4	226	67	29.65	1
2024-11-01	5	226	68	30.09	1
2024-11-01	6	226	68	30.09	1
2024-11-01	7	226	71	31.42	1
2024-11-01	8	226	55	24.34	1
2024-11-01	9	226	71	31.42	1
2024-11-01	10	226	59	26.11	1
2024-11-01	11	226	67	29.65	1
2024-11-01	12	226	54	23.89	1
2024-11-01	13	226	59	26.11	1
2024-12-01	0	260	260	100.00	1
2024-12-01	1	260	77	29.62	1
2024-12-01	2	260	80	30.77	1
2024-12-01	3	260	71	27.31	1
2024-12-01	4	260	94	36.15	1
2024-12-01	5	260	79	30.38	1
2024-12-01	6	260	74	28.46	1
2024-12-01	7	260	86	33.08	1
2024-12-01	8	260	79	30.38	1
2024-12-01	9	260	89	34.23	1
2024-12-01	10	260	77	29.62	1
2024-12-01	11	260	82	31.54	1
2024-12-01	12	260	84	32.31	1
2025-01-01	0	267	267	100.00	1
2025-01-01	1	267	63	23.60	1
2025-01-01	2	267	77	28.84	1
2025-01-01	3	267	78	29.21	1
2025-01-01	4	267	78	29.21	1
2025-01-01	5	267	79	29.59	1
2025-01-01	6	267	74	27.72	1
2025-01-01	7	267	86	32.21	1
2025-01-01	8	267	67	25.09	1
2025-01-01	9	267	80	29.96	1
2025-01-01	10	267	75	28.09	1
2025-01-01	11	267	75	28.09	1
2025-02-01	0	258	258	100.00	1
2025-02-01	1	258	53	20.54	1
2025-02-01	2	258	78	30.23	1
2025-02-01	3	258	67	25.97	1
2025-02-01	4	258	65	25.19	1
2025-02-01	5	258	74	28.68	1
2025-02-01	6	258	77	29.84	1
2025-02-01	7	258	78	30.23	1
2025-02-01	8	258	71	27.52	1
2025-02-01	9	258	63	24.42	1
2025-02-01	10	258	69	26.74	1
2025-03-01	0	280	280	100.00	1
2025-03-01	1	280	69	24.64	1
2025-03-01	2	280	87	31.07	1
2025-03-01	3	280	89	31.79	1
2025-03-01	4	280	82	29.29	1
2025-03-01	5	280	73	26.07	1
2025-03-01	6	280	81	28.93	1
2025-03-01	7	280	85	30.36	1
2025-03-01	8	280	84	30.00	1
2025-03-01	9	280	72	25.71	1
2025-04-01	0	345	345	100.00	1
2025-04-01	1	345	99	28.70	1
2025-04-01	2	345	103	29.86	1
2025-04-01	3	345	111	32.17	1
2025-04-01	4	345	118	34.20	1
2025-04-01	5	345	117	33.91	1
2025-04-01	6	345	106	30.72	1
2025-04-01	7	345	116	33.62	1
2025-04-01	8	345	132	38.26	1
2025-05-01	0	434	434	100.00	1
2025-05-01	1	434	105	24.19	1
2025-05-01	2	434	137	31.57	1
2025-05-01	3	434	120	27.65	1
2025-05-01	4	434	121	27.88	1
2025-05-01	5	434	128	29.49	1
2025-05-01	6	434	130	29.95	1
2025-05-01	7	434	131	30.18	1
2025-06-01	0	167	167	100.00	1
2025-06-01	1	167	100	59.88	1
2025-06-01	2	167	88	52.69	1
2025-06-01	3	167	97	58.08	1
2025-06-01	4	167	92	55.09	1
2025-06-01	5	167	96	57.49	1
2025-06-01	6	167	99	59.28	1
2025-07-01	0	198	198	100.00	1
2025-07-01	1	198	118	59.60	1
2025-07-01	2	198	110	55.56	1
2025-07-01	3	198	114	57.58	1
2025-07-01	4	198	123	62.12	1
2025-07-01	5	198	115	58.08	1
2025-08-01	0	202	202	100.00	1
2025-08-01	1	202	109	53.96	1
2025-08-01	2	202	106	52.48	1
2025-08-01	3	202	113	55.94	1
2025-08-01	4	202	103	50.99	1
2025-09-01	0	231	231	100.00	1
2025-09-01	1	231	139	60.17	1
2025-09-01	2	231	135	58.44	1
2025-09-01	3	231	142	61.47	1
2025-10-01	0	211	211	100.00	1
2025-10-01	1	211	117	55.45	1
2025-10-01	2	211	121	57.35	1
2025-11-01	0	235	235	100.00	1
2025-11-01	1	235	121	51.49	1
2025-12-01	0	142	142	100.00	1
cohort_month	cohort_size	month_1_retained_customers	month_1_retention_rate	observation_complete
2024-01-01	436	57	13.07	1
2024-02-01	434	47	10.83	1
2024-03-01	448	51	11.38	1
2024-04-01	462	46	9.96	1
2024-05-01	479	46	9.60	1
2024-06-01	433	50	11.55	1
2024-07-01	222	52	23.42	1
2024-08-01	236	59	25.00	1
2024-09-01	221	55	24.89	1
2024-10-01	242	60	24.79	1
2024-11-01	226	42	18.58	1
2024-12-01	260	77	29.62	1
2025-01-01	267	63	23.60	1
2025-02-01	258	53	20.54	1
2025-03-01	280	69	24.64	1
2025-04-01	345	99	28.70	1
2025-05-01	434	105	24.19	1
2025-06-01	167	100	59.88	1
2025-07-01	198	118	59.60	1
2025-08-01	202	109	53.96	1
2025-09-01	231	139	60.17	1
2025-10-01	211	117	55.45	1
2025-11-01	235	121	51.49	1
2025-12-01	142	0	0.00	0
eligible_customers	repeat_customers	period_repeat_retention_rate	one_order_customers
7069	4745	67.12	2324
