eligible_orders	eligible_customers	eligible_revenue	zero_purchase_customers	repeat_customers	period_repeat_retention_rate	month_1_retained_customers	complete_month_1_cohort_customers	weighted_month_1_retention_rate	high_risk_customers	medium_risk_customers	low_risk_customers	churn_candidates	chronology_exception_orders	chronology_exception_customers	reference_date	lifecycle_rule	risk_score_note
35017	7069	53997988.41	931	4745	67.12	1735	6927	25.05	2647	1305	3117	2491	557	404	2025-12-31	is_eligible = 1 AND order_date >= signup_date	Risk score is deterministic SQL behavior scoring, not machine-learning prediction
order_month	eligible_orders	monthly_active_customers	new_customers	returning_customers	monthly_repeat_customer_rate	eligible_revenue	average_order_value
2024-01-01	459	436	436	0	0.00	802889.32	1749.21
2024-02-01	523	491	434	57	11.61	839214.43	1604.62
2024-03-01	589	553	448	105	18.99	929902.96	1578.78
2024-04-01	644	612	462	150	24.51	1053726.61	1636.22
2024-05-01	756	691	479	212	30.68	1142823.73	1511.67
2024-06-01	764	701	433	268	38.23	1185565.98	1551.79
2024-07-01	651	564	222	342	60.64	987934.06	1517.56
2024-08-01	716	623	236	387	62.12	1193226.56	1666.52
2024-09-01	739	643	221	422	65.63	1181735.48	1599.10
2024-10-01	873	764	242	522	68.32	1351634.44	1548.26
2024-11-01	939	796	226	570	71.61	1448201.60	1542.28
2024-12-01	1080	901	260	641	71.14	1692313.27	1566.96
2025-01-01	1223	1027	267	760	74.00	1957249.73	1600.37
2025-02-01	1205	1011	258	753	74.48	1823306.55	1513.12
2025-03-01	1433	1171	280	891	76.09	2112726.27	1474.34
2025-04-01	1596	1316	345	971	73.78	2438223.35	1527.71
2025-05-01	1923	1589	434	1155	72.69	2912681.04	1514.65
2025-06-01	1732	1348	167	1181	87.61	2622832.96	1514.34
2025-07-01	2050	1548	198	1350	87.21	3134311.97	1528.93
2025-08-01	2227	1631	202	1429	87.61	3434467.86	1542.19
2025-09-01	2535	1737	231	1506	86.70	3938207.37	1553.53
2025-10-01	2960	1943	211	1732	89.14	4498209.72	1519.67
2025-11-01	3483	2066	235	1831	88.63	5380204.65	1544.70
2025-12-01	3917	2078	142	1936	93.17	5936398.50	1515.55
rfm_segment	customers	customer_percentage	average_customer_value	average_recency_days	average_frequency
Needs Attention	2655	37.56	2375.46	418.51	1.54
Champions	1743	24.66	16981.76	21.88	10.22
Loyal Customers	943	13.34	9517.25	56.52	7.63
At Risk	760	10.75	3105.86	268.43	2.38
Potential Loyalists	641	9.07	6141.28	24.43	4.09
High Value At Risk	201	2.84	13096.07	208.33	6.88
New Customers	126	1.78	1490.79	26.92	1.00
risk_band	customers	customer_percentage	churn_candidates	inactive_90_plus	average_behavioral_risk_score
High Risk	2647	37.45	2401	2647	87.52
Medium Risk	1305	18.46	90	796	53.55
Low Risk	3117	44.09	0	25	10.38
intervention_priority	customers	customer_percentage	monetary_value	churn_candidates
High Value Intervention	497	7.03	6739084.13	108
Standard Intervention	3455	48.88	7239398.04	2383
Monitor / Engage	3117	44.09	40019506.24	0
cohort_month	cohort_size	month_1_retained_customers	month_1_retention_rate
2024-01-01	436	57	13.07
2024-02-01	434	47	10.83
2024-03-01	448	51	11.38
2024-04-01	462	46	9.96
2024-05-01	479	46	9.60
2024-06-01	433	50	11.55
2024-07-01	222	52	23.42
2024-08-01	236	59	25.00
2024-09-01	221	55	24.89
2024-10-01	242	60	24.79
2024-11-01	226	42	18.58
2024-12-01	260	77	29.62
2025-01-01	267	63	23.60
2025-02-01	258	53	20.54
2025-03-01	280	69	24.64
2025-04-01	345	99	28.70
2025-05-01	434	105	24.19
2025-06-01	167	100	59.88
2025-07-01	198	118	59.60
2025-08-01	202	109	53.96
2025-09-01	231	139	60.17
2025-10-01	211	117	55.45
2025-11-01	235	121	51.49
cohort_month	activity_month	elapsed_month	cohort_size	retained_customers	retention_rate	observation_complete
2024-04-01	2024-08-01	4	462	62	13.42	1
2024-04-01	2024-09-01	5	462	33	7.14	1
2024-04-01	2024-10-01	6	462	50	10.82	1
2024-04-01	2024-11-01	7	462	48	10.39	1
2024-04-01	2024-12-01	8	462	43	9.31	1
2024-04-01	2025-01-01	9	462	52	11.26	1
2024-04-01	2025-02-01	10	462	42	9.09	1
2024-04-01	2025-03-01	11	462	55	11.90	1
2024-04-01	2025-04-01	12	462	51	11.04	1
2024-04-01	2025-05-01	13	462	55	11.90	1
2024-04-01	2025-06-01	14	462	61	13.20	1
2024-04-01	2025-07-01	15	462	48	10.39	1
2024-04-01	2025-08-01	16	462	56	12.12	1
2024-04-01	2025-09-01	17	462	51	11.04	1
2024-04-01	2025-10-01	18	462	50	10.82	1
2024-04-01	2025-11-01	19	462	45	9.74	1
2024-04-01	2025-12-01	20	462	47	10.17	1
2024-05-01	2024-05-01	0	479	479	100.00	1
2024-05-01	2024-06-01	1	479	46	9.60	1
2024-05-01	2024-07-01	2	479	55	11.48	1
2024-05-01	2024-08-01	3	479	57	11.90	1
2024-05-01	2024-09-01	4	479	52	10.86	1
2024-05-01	2024-10-01	5	479	59	12.32	1
2024-05-01	2024-11-01	6	479	53	11.06	1
2024-05-01	2024-12-01	7	479	64	13.36	1
2024-05-01	2025-01-01	8	479	47	9.81	1
2024-05-01	2025-02-01	9	479	55	11.48	1
2024-05-01	2025-03-01	10	479	69	14.41	1
2024-05-01	2025-04-01	11	479	64	13.36	1
2024-05-01	2025-05-01	12	479	53	11.06	1
2024-05-01	2025-06-01	13	479	62	12.94	1
2024-05-01	2025-07-01	14	479	59	12.32	1
2024-05-01	2025-08-01	15	479	58	12.11	1
2024-05-01	2025-09-01	16	479	56	11.69	1
2024-05-01	2025-10-01	17	479	60	12.53	1
2024-05-01	2025-11-01	18	479	59	12.32	1
2024-05-01	2025-12-01	19	479	65	13.57	1
2024-06-01	2024-06-01	0	433	433	100.00	1
2024-06-01	2024-07-01	1	433	50	11.55	1
2024-06-01	2024-08-01	2	433	54	12.47	1
2024-06-01	2024-09-01	3	433	51	11.78	1
2024-06-01	2024-10-01	4	433	54	12.47	1
2024-06-01	2024-11-01	5	433	60	13.86	1
2024-06-01	2024-12-01	6	433	58	13.39	1
2024-06-01	2025-01-01	7	433	63	14.55	1
2024-06-01	2025-02-01	8	433	57	13.16	1
2024-06-01	2025-03-01	9	433	69	15.94	1
2024-06-01	2025-04-01	10	433	51	11.78	1
2024-06-01	2025-05-01	11	433	67	15.47	1
2024-06-01	2025-06-01	12	433	68	15.70	1
2024-06-01	2025-07-01	13	433	66	15.24	1
2024-06-01	2025-08-01	14	433	58	13.39	1
2024-06-01	2025-09-01	15	433	52	12.01	1
2024-06-01	2025-10-01	16	433	67	15.47	1
2024-06-01	2025-11-01	17	433	68	15.70	1
2024-06-01	2025-12-01	18	433	63	14.55	1
2024-07-01	2024-07-01	0	222	222	100.00	1
2024-07-01	2024-08-01	1	222	52	23.42	1
2024-07-01	2024-09-01	2	222	52	23.42	1
2024-07-01	2024-10-01	3	222	52	23.42	1
2024-07-01	2024-11-01	4	222	66	29.73	1
2024-07-01	2024-12-01	5	222	61	27.48	1
2024-07-01	2025-01-01	6	222	69	31.08	1
2024-07-01	2025-02-01	7	222	60	27.03	1
2024-07-01	2025-03-01	8	222	52	23.42	1
2024-07-01	2025-04-01	9	222	48	21.62	1
2024-07-01	2025-05-01	10	222	69	31.08	1
2024-07-01	2025-06-01	11	222	50	22.52	1
2024-07-01	2025-07-01	12	222	71	31.98	1
2024-07-01	2025-08-01	13	222	57	25.68	1
2024-07-01	2025-09-01	14	222	60	27.03	1
2024-07-01	2025-10-01	15	222	65	29.28	1
2024-07-01	2025-11-01	16	222	67	30.18	1
2024-07-01	2025-12-01	17	222	60	27.03	1
2024-08-01	2024-08-01	0	236	236	100.00	1
2024-08-01	2024-09-01	1	236	59	25.00	1
2024-08-01	2024-10-01	2	236	71	30.08	1
2024-08-01	2024-11-01	3	236	74	31.36	1
2024-08-01	2024-12-01	4	236	68	28.81	1
2024-08-01	2025-01-01	5	236	79	33.47	1
2024-08-01	2025-02-01	6	236	64	27.12	1
2024-08-01	2025-03-01	7	236	68	28.81	1
2024-08-01	2025-04-01	8	236	60	25.42	1
2024-08-01	2025-05-01	9	236	81	34.32	1
2024-08-01	2025-06-01	10	236	70	29.66	1
2024-08-01	2025-07-01	11	236	67	28.39	1
2024-08-01	2025-08-01	12	236	60	25.42	1
2024-08-01	2025-09-01	13	236	63	26.69	1
2024-08-01	2025-10-01	14	236	70	29.66	1
2024-08-01	2025-11-01	15	236	61	25.85	1
2024-08-01	2025-12-01	16	236	61	25.85	1
2024-09-01	2024-09-01	0	221	221	100.00	1
2024-09-01	2024-10-01	1	221	55	24.89	1
2024-09-01	2024-11-01	2	221	44	19.91	1
2024-09-01	2024-12-01	3	221	57	25.79	1
2024-09-01	2025-01-01	4	221	58	26.24	1
2024-09-01	2025-02-01	5	221	58	26.24	1
2024-09-01	2025-03-01	6	221	61	27.60	1
2024-09-01	2025-04-01	7	221	53	23.98	1
2024-09-01	2025-05-01	8	221	68	30.77	1
2024-09-01	2025-06-01	9	221	53	23.98	1
2024-09-01	2025-07-01	10	221	55	24.89	1
2024-09-01	2025-08-01	11	221	56	25.34	1
2024-09-01	2025-09-01	12	221	50	22.62	1
2024-09-01	2025-10-01	13	221	66	29.86	1
2024-09-01	2025-11-01	14	221	77	34.84	1
2024-09-01	2025-12-01	15	221	71	32.13	1
2024-10-01	2024-10-01	0	242	242	100.00	1
2024-10-01	2024-11-01	1	242	60	24.79	1
2024-10-01	2024-12-01	2	242	63	26.03	1
2024-10-01	2025-01-01	3	242	78	32.23	1
2024-10-01	2025-02-01	4	242	58	23.97	1
2024-10-01	2025-03-01	5	242	63	26.03	1
2024-10-01	2025-04-01	6	242	68	28.10	1
2024-10-01	2025-05-01	7	242	63	26.03	1
2024-10-01	2025-06-01	8	242	76	31.40	1
2024-10-01	2025-07-01	9	242	70	28.93	1
2024-10-01	2025-08-01	10	242	68	28.10	1
2024-10-01	2025-09-01	11	242	60	24.79	1
2024-10-01	2025-10-01	12	242	73	30.17	1
2024-10-01	2025-11-01	13	242	64	26.45	1
2024-10-01	2025-12-01	14	242	73	30.17	1
2024-11-01	2024-11-01	0	226	226	100.00	1
2024-11-01	2024-12-01	1	226	42	18.58	1
2024-11-01	2025-01-01	2	226	65	28.76	1
2024-11-01	2025-02-01	3	226	55	24.34	1
2024-11-01	2025-03-01	4	226	67	29.65	1
2024-11-01	2025-04-01	5	226	68	30.09	1
2024-11-01	2025-05-01	6	226	68	30.09	1
2024-11-01	2025-06-01	7	226	71	31.42	1
2024-11-01	2025-07-01	8	226	55	24.34	1
2024-11-01	2025-08-01	9	226	71	31.42	1
2024-11-01	2025-09-01	10	226	59	26.11	1
2024-11-01	2025-10-01	11	226	67	29.65	1
2024-11-01	2025-11-01	12	226	54	23.89	1
2024-11-01	2025-12-01	13	226	59	26.11	1
2024-12-01	2024-12-01	0	260	260	100.00	1
2024-12-01	2025-01-01	1	260	77	29.62	1
2024-12-01	2025-02-01	2	260	80	30.77	1
2024-12-01	2025-03-01	3	260	71	27.31	1
2024-12-01	2025-04-01	4	260	94	36.15	1
2024-12-01	2025-05-01	5	260	79	30.38	1
2024-12-01	2025-06-01	6	260	74	28.46	1
2024-12-01	2025-07-01	7	260	86	33.08	1
2024-12-01	2025-08-01	8	260	79	30.38	1
2024-12-01	2025-09-01	9	260	89	34.23	1
2024-12-01	2025-10-01	10	260	77	29.62	1
2024-12-01	2025-11-01	11	260	82	31.54	1
2024-12-01	2025-12-01	12	260	84	32.31	1
2025-01-01	2025-01-01	0	267	267	100.00	1
2025-01-01	2025-02-01	1	267	63	23.60	1
2025-01-01	2025-03-01	2	267	77	28.84	1
2025-01-01	2025-04-01	3	267	78	29.21	1
2025-01-01	2025-05-01	4	267	78	29.21	1
2025-01-01	2025-06-01	5	267	79	29.59	1
2025-01-01	2025-07-01	6	267	74	27.72	1
2025-01-01	2025-08-01	7	267	86	32.21	1
2025-01-01	2025-09-01	8	267	67	25.09	1
2025-01-01	2025-10-01	9	267	80	29.96	1
2025-01-01	2025-11-01	10	267	75	28.09	1
2025-01-01	2025-12-01	11	267	75	28.09	1
2025-02-01	2025-02-01	0	258	258	100.00	1
2025-02-01	2025-03-01	1	258	53	20.54	1
2025-02-01	2025-04-01	2	258	78	30.23	1
2025-02-01	2025-05-01	3	258	67	25.97	1
2025-02-01	2025-06-01	4	258	65	25.19	1
2025-02-01	2025-07-01	5	258	74	28.68	1
2025-02-01	2025-08-01	6	258	77	29.84	1
2025-02-01	2025-09-01	7	258	78	30.23	1
2025-02-01	2025-10-01	8	258	71	27.52	1
2025-02-01	2025-11-01	9	258	63	24.42	1
2025-02-01	2025-12-01	10	258	69	26.74	1
2025-03-01	2025-03-01	0	280	280	100.00	1
2025-03-01	2025-04-01	1	280	69	24.64	1
2025-03-01	2025-05-01	2	280	87	31.07	1
2025-03-01	2025-06-01	3	280	89	31.79	1
2025-03-01	2025-07-01	4	280	82	29.29	1
2025-03-01	2025-08-01	5	280	73	26.07	1
2025-03-01	2025-09-01	6	280	81	28.93	1
2025-03-01	2025-10-01	7	280	85	30.36	1
2025-03-01	2025-11-01	8	280	84	30.00	1
2025-03-01	2025-12-01	9	280	72	25.71	1
2025-04-01	2025-04-01	0	345	345	100.00	1
2025-04-01	2025-05-01	1	345	99	28.70	1
2025-04-01	2025-06-01	2	345	103	29.86	1
2025-04-01	2025-07-01	3	345	111	32.17	1
2025-04-01	2025-08-01	4	345	118	34.20	1
2025-04-01	2025-09-01	5	345	117	33.91	1
2025-04-01	2025-10-01	6	345	106	30.72	1
2025-04-01	2025-11-01	7	345	116	33.62	1
2025-04-01	2025-12-01	8	345	132	38.26	1
2025-05-01	2025-05-01	0	434	434	100.00	1
2025-05-01	2025-06-01	1	434	105	24.19	1
2025-05-01	2025-07-01	2	434	137	31.57	1
2025-05-01	2025-08-01	3	434	120	27.65	1
2025-05-01	2025-09-01	4	434	121	27.88	1
2025-05-01	2025-10-01	5	434	128	29.49	1
2025-05-01	2025-11-01	6	434	130	29.95	1
2025-05-01	2025-12-01	7	434	131	30.18	1
2025-06-01	2025-06-01	0	167	167	100.00	1
2025-06-01	2025-07-01	1	167	100	59.88	1
2025-06-01	2025-08-01	2	167	88	52.69	1
2025-06-01	2025-09-01	3	167	97	58.08	1
2025-06-01	2025-10-01	4	167	92	55.09	1
2025-06-01	2025-11-01	5	167	96	57.49	1
2025-06-01	2025-12-01	6	167	99	59.28	1
2025-07-01	2025-07-01	0	198	198	100.00	1
2025-07-01	2025-08-01	1	198	118	59.60	1
2025-07-01	2025-09-01	2	198	110	55.56	1
2025-07-01	2025-10-01	3	198	114	57.58	1
2025-07-01	2025-11-01	4	198	123	62.12	1
2025-07-01	2025-12-01	5	198	115	58.08	1
2025-08-01	2025-08-01	0	202	202	100.00	1
2025-08-01	2025-09-01	1	202	109	53.96	1
2025-08-01	2025-10-01	2	202	106	52.48	1
2025-08-01	2025-11-01	3	202	113	55.94	1
2025-08-01	2025-12-01	4	202	103	50.99	1
2025-09-01	2025-09-01	0	231	231	100.00	1
2025-09-01	2025-10-01	1	231	139	60.17	1
2025-09-01	2025-11-01	2	231	135	58.44	1
2025-09-01	2025-12-01	3	231	142	61.47	1
2025-10-01	2025-10-01	0	211	211	100.00	1
2025-10-01	2025-11-01	1	211	117	55.45	1
2025-10-01	2025-12-01	2	211	121	57.35	1
2025-11-01	2025-11-01	0	235	235	100.00	1
2025-11-01	2025-12-01	1	235	121	51.49	1
2025-12-01	2025-12-01	0	142	142	100.00	1
sales_channel_name	eligible_orders	customers	units	line_revenue	net_order_value	average_order_value
Web	16023	5595	140863	24758016.26	23644213.52	1545.15
Mobile App	9202	3980	80912	14156254.62	13519063.67	1538.39
Marketplace	6335	3759	55853	9847925.27	9413958.49	1554.53
Retail Store	3457	2498	30136	5235792.26	4966306.27	1514.55
payment_method_name	eligible_orders	customers	line_revenue	net_order_value	average_order_value
Credit Card	16661	5445	25670024.41	24509003.62	1540.73
Debit Card	8989	4287	13933634.81	13301724.78	1550.08
Digital Wallet	7644	3997	11754038.66	11214365.73	1537.68
Bank Transfer	1723	1456	2640290.53	2518447.82	1532.38
category_id	category_name	eligible_orders	customers	units	line_revenue	line_cost	gross_margin	gross_margin_percentage
4	Electronics	8388	3234	32992	16667061.51	11264317.29	5402744.22	32.42
7	Home & Kitchen	9228	3385	37127	8165270.85	5100226.66	3065044.19	37.54
10	Sports & Outdoors	6830	2843	26166	6348761.12	4181241.76	2167519.36	34.14
5	Garden & Tools	6023	2871	22830	5373229.02	3410221.85	1963007.17	36.53
1	Apparel	7430	2951	28990	4390276.25	2968996.70	1421279.55	32.37
11	Toys & Games	6830	2965	26391	3174292.23	2043043.16	1131249.07	35.64
12	Travel & Accessories	4974	2596	18534	3018734.82	2024071.57	994663.25	32.95
2	Beauty & Personal Care	6904	2881	26946	1998074.72	1302545.10	695529.62	34.81
3	Books & Media	6469	2746	24822	1441391.78	993279.89	448111.89	31.09
8	Office & Stationery	5264	2514	19426	1183936.62	771725.60	412211.02	34.82
6	Grocery & Gourmet	6261	2704	23486	1163458.25	784748.17	378710.08	32.55
9	Pet Supplies	5393	2487	20054	1073501.24	686079.49	387421.75	36.09
product_id	sku	product_name	category_id	category_name	eligible_orders	customers	units	line_revenue	line_cost	gross_margin	gross_margin_percentage
10	SKU-00010	Electronics 10	4	Electronics	1353	1051	4030	2602022.87	2089917.70	512105.17	19.68
1	SKU-00001	Electronics 01	4	Electronics	1121	893	3351	2501343.82	1881184.38	620159.44	24.79
15	SKU-00015	Electronics 15	4	Electronics	740	625	2325	1883645.28	1254779.25	628866.03	33.39
6	SKU-00006	Electronics 06	4	Electronics	903	756	2698	1500420.48	937177.28	563243.20	37.54
5	SKU-00005	Electronics 05	4	Electronics	789	671	2375	1428020.65	813010.00	615010.65	43.07
11	SKU-00011	Electronics 11	4	Electronics	647	569	2026	1408738.17	982670.78	426067.39	30.24
2	SKU-00002	Electronics 02	4	Electronics	730	628	2176	1336607.55	911243.52	425364.03	31.82
25	SKU-00025	Home & Kitchen 10	7	Home & Kitchen	966	790	2955	1109694.20	825154.20	284540.00	25.64
18	SKU-00018	Home & Kitchen 03	7	Home & Kitchen	1197	936	3559	1102729.85	710625.53	392104.32	35.56
3	SKU-00003	Electronics 03	4	Electronics	558	502	1704	1055986.62	546813.60	509173.02	48.22
23	SKU-00023	Home & Kitchen 08	7	Home & Kitchen	1040	828	3061	928146.77	488443.77	439703.00	47.37
17	SKU-00017	Home & Kitchen 02	7	Home & Kitchen	816	692	2425	906441.66	568662.50	337779.16	37.26
13	SKU-00013	Electronics 13	4	Electronics	1085	866	3265	871143.54	516653.60	354489.94	40.69
21	SKU-00021	Home & Kitchen 06	7	Home & Kitchen	791	657	2374	864995.80	560596.36	304399.44	35.19
65	SKU-00065	Sports & Outdoors 05	10	Sports & Outdoors	611	517	1802	850322.70	473799.86	376522.84	44.28
27	SKU-00027	Home & Kitchen 12	7	Home & Kitchen	1011	822	3016	828882.89	447845.84	381037.05	45.97
158	SKU-00158	Garden & Tools 08	5	Garden & Tools	779	634	2392	756966.03	494115.44	262850.59	34.72
26	SKU-00026	Home & Kitchen 11	7	Home & Kitchen	1103	883	3311	748737.81	471784.39	276953.42	36.99
74	SKU-00074	Sports & Outdoors 14	10	Sports & Outdoors	531	456	1564	737797.06	417619.28	320177.78	43.40
157	SKU-00157	Garden & Tools 07	5	Garden & Tools	735	618	2210	736950.77	474774.30	262176.47	35.58
customer_id	customer_code	city	state	acquisition_channel	risk_band	behavioral_risk_score	churn_candidate_flag	intervention_priority	recency_days	eligible_order_count	monetary_value	risk_reason
6434	CUST-06434	Columbus	OH	Organic Search	High Risk	91	1	High Value Intervention	218	2	13900.87	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months
883	CUST-00883	Jacksonville	FL	Paid Search	High Risk	91	1	High Value Intervention	289	2	10514.54	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months
