customer_id	first_eligible_order_date	last_eligible_order_date	recency_days	eligible_order_count	monetary_value	active_months_last_12	orders_last_180_days	average_interorder_gap_days	cadence_ratio	cadence_ratio_display	value_quintile	recency_points	frequency_points	cadence_points	recent_activity_points	behavioral_risk_score	risk_band	inactive_90_plus_flag	inactive_180_plus_flag	overdue_cadence_flag	churn_candidate_flag	churn_candidate_type	intervention_priority	risk_reason	eligibility_rule_applied	score_classification
6560	2024-08-18	2024-09-17	470	2	7797.57	0	0	30.00	15.6667	15.67	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4417	2025-04-28	2025-06-04	210	2	7773.65	2	0	37.00	5.6757	5.68	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1382	2024-07-19	2024-08-18	500	2	7720.79	0	0	30.00	16.6667	16.67	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7832	2024-09-11	2024-11-24	402	2	7691.58	0	0	74.00	5.4324	5.43	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1785	2025-03-17	2025-06-13	201	2	7555.88	2	0	88.00	2.2841	2.28	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4432	2024-12-09	2025-03-17	289	2	7495.11	1	0	98.00	2.9490	2.95	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5336	2025-05-03	2025-06-29	185	2	7351.95	2	0	57.00	3.2456	3.25	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5500	2024-09-23	2024-12-01	395	2	6917.04	0	0	69.00	5.7246	5.72	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2529	2024-05-29	2024-07-10	539	2	6681.30	0	0	42.00	12.8333	12.83	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7656	2025-03-08	2025-04-20	255	2	6600.79	2	0	43.00	5.9302	5.93	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2989	2025-03-14	2025-06-15	199	2	6600.44	2	0	93.00	2.1398	2.14	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3916	2025-03-19	2025-06-22	192	2	6586.34	2	0	95.00	2.0211	2.02	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7283	2024-05-03	2024-10-16	441	2	6452.90	0	0	166.00	2.6566	2.66	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6229	2024-02-07	2024-05-14	596	2	6285.85	0	0	97.00	6.1443	6.14	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
268	2024-08-16	2024-12-14	382	2	6270.54	0	0	120.00	3.1833	3.18	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2662	2024-07-31	2024-12-03	393	2	6244.47	0	0	125.00	3.1440	3.14	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6141	2025-01-24	2025-03-04	302	2	6166.26	2	0	39.00	7.7436	7.74	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1143	2024-05-14	2024-07-24	525	2	6114.04	0	0	71.00	7.3944	7.39	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3715	2024-12-16	2025-04-17	258	2	5963.82	1	0	122.00	2.1148	2.11	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6440	2025-03-17	2025-06-09	205	2	5747.23	2	0	84.00	2.4405	2.44	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1529	2024-06-05	2024-10-04	453	2	5687.06	0	0	121.00	3.7438	3.74	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2581	2024-05-19	2024-09-30	457	2	5672.23	0	0	134.00	3.4104	3.41	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3562	2024-02-29	2024-07-02	547	2	5604.39	0	0	124.00	4.4113	4.41	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6163	2024-01-31	2024-04-16	624	2	5566.52	0	0	76.00	8.2105	8.21	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7922	2025-04-14	2025-05-27	218	2	5529.11	2	0	43.00	5.0698	5.07	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4558	2024-02-09	2024-08-19	499	2	5522.54	0	0	192.00	2.5990	2.60	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6339	2025-01-28	2025-04-24	251	2	5508.00	2	0	86.00	2.9186	2.92	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
245	2024-09-21	2024-12-21	375	2	5352.79	0	0	91.00	4.1209	4.12	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3574	2025-03-01	2025-04-29	246	2	5322.00	2	0	59.00	4.1695	4.17	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4481	2024-02-11	2024-04-22	618	2	5316.56	0	0	71.00	8.7042	8.70	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
14	2025-01-17	2025-03-18	288	2	5296.81	2	0	60.00	4.8000	4.80	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5776	2024-08-30	2024-10-03	454	2	5275.79	0	0	34.00	13.3529	13.35	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7829	2024-04-12	2024-06-06	573	2	5252.69	0	0	55.00	10.4182	10.42	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5181	2024-08-19	2024-10-14	443	2	5251.63	0	0	56.00	7.9107	7.91	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
296	2024-12-13	2025-04-12	263	2	5234.43	1	0	120.00	2.1917	2.19	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3757	2024-08-15	2025-01-24	341	2	5172.43	1	0	162.00	2.1049	2.10	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7076	2024-08-18	2025-01-20	345	2	5080.16	1	0	155.00	2.2258	2.23	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
567	2025-04-14	2025-06-27	187	2	5063.39	2	0	74.00	2.5270	2.53	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4540	2025-03-08	2025-05-29	216	2	5036.93	2	0	82.00	2.6341	2.63	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
541	2025-02-11	2025-03-25	281	2	5026.38	2	0	42.00	6.6905	6.69	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
6375	2025-01-06	2025-03-24	282	2	4951.12	2	0	77.00	3.6623	3.66	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2749	2024-12-09	2025-02-04	330	2	4948.46	1	0	57.00	5.7895	5.79	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3547	2024-07-03	2024-12-09	387	2	4946.00	0	0	159.00	2.4340	2.43	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2322	2024-09-16	2025-02-19	315	2	4914.33	1	0	156.00	2.0192	2.02	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2058	2024-10-07	2024-12-13	383	2	4874.85	0	0	67.00	5.7164	5.72	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1842	2024-12-28	2025-02-09	325	2	4798.45	1	0	43.00	7.5581	7.56	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
2549	2025-03-17	2025-04-19	256	2	4731.30	2	0	33.00	7.7576	7.76	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1874	2025-01-03	2025-03-16	290	2	4715.33	2	0	72.00	4.0278	4.03	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7630	2024-08-30	2025-01-12	353	2	4689.72	1	0	135.00	2.6148	2.61	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7195	2025-03-20	2025-06-11	203	2	4640.88	2	0	83.00	2.4458	2.45	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
1677	2024-11-18	2025-01-03	362	2	4605.84	1	0	46.00	7.8696	7.87	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
7508	2025-04-09	2025-06-12	202	2	4555.39	2	0	64.00	3.1563	3.16	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3159	2024-01-23	2024-08-06	512	2	4538.74	0	0	196.00	2.6122	2.61	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
4221	2024-12-24	2025-01-28	337	2	4488.35	1	0	35.00	9.6286	9.63	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
42	2025-02-06	2025-04-10	265	2	4470.28	2	0	63.00	4.2063	4.21	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
3754	2024-08-05	2024-11-12	414	2	4461.10	0	0	99.00	4.1818	4.18	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
405	2024-05-26	2024-08-07	511	2	4430.02	0	0	73.00	7.0000	7.00	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
5247	2025-04-25	2025-06-14	200	2	4402.40	2	0	50.00	4.0000	4.00	3	40	16	25	10	91	High Risk	1	1	1	1	Repeat-customer inactivity	Standard Intervention	No eligible purchase in more than 180 days; Overdue versus historical purchase cadence; No eligible purchase in the last 180 days; Fewer than three active months in the last twelve months	is_eligible = 1 AND order_date >= signup_date	Deterministic SQL behavioral score; not machine-learning prediction
