order_id,order_number,customer_id,order_date,order_status,payment_method,sales_channel,shipping_city,shipping_state,discount_amount,shipping_amount
63,ORD-000063,4806,05-01-2024,Completed,Credit Card,Marketplace,Atlanta,GA,0,29.99
64,ORD-000064,5191,05-01-2024,Cancelled,Credit Card,Marketplace,Chicago,IL,392.22,12.99
65,ORD-000065,6036,05-01-2024,Pending,Debit Card,Marketplace,Chicago,IL,24.41,7.99
66,ORD-000066,6421,05-01-2024,Completed,Credit Card,Web,Philadelphia,PA,53.85,29.99
67,ORD-000067,7497,05-01-2024,Completed,Credit Card,Web,Denver,CO,195.66,29.99
68,ORD-000068,7913,05-01-2024,Completed,Digital Wallet,Retail Store,Chicago,IL,21.7,0
69,ORD-000069,168,06-01-2024,Cancelled,Credit Card,Web,Houston,TX,148.85,12.99
70,ORD-000070,179,06-01-2024,Completed,Credit Card,Marketplace,Phoenix,AZ,227.81,12.99
71,ORD-000071,328,06-01-2024,Completed,Debit Card,Web,Seattle,WA,277.42,29.99
72,ORD-000072,984,06-01-2024,Completed,Credit Card,Web,Chicago,IL,99.04,29.99
73,ORD-000073,1795,06-01-2024,Completed,Credit Card,Web,Austin,TX,135.41,0
74,ORD-000074,2090,06-01-2024,Completed,Debit Card,Retail Store,Nashville,TN,20.11,0
75,ORD-000075,3089,06-01-2024,Completed,Digital Wallet,Web,Austin,TX,36.48,29.99
76,ORD-000076,3941,06-01-2024,Completed,Debit Card,Marketplace,Houston,TX,233.15,0
77,ORD-000077,4869,06-01-2024,Cancelled,Debit Card,Web,Phoenix,AZ,0,0
78,ORD-000078,5813,06-01-2024,Completed,Debit Card,Mobile App,Charlotte,NC,53.78,4.99
79,ORD-000079,6268,06-01-2024,Completed,Credit Card,Web,Philadelphia,PA,88.27,29.99
80,ORD-000080,74,07-01-2024,Returned,Credit Card,Web,New York,NY,169.96,29.99
81,ORD-000081,415,07-01-2024,Completed,Debit Card,Web,San Diego,CA,95.86,12.99
82,ORD-000082,897,07-01-2024,Completed,Digital Wallet,Web,Philadelphia,PA,27.24,0
83,ORD-000083,939,07-01-2024,Completed,Digital Wallet,Web,Phoenix,AZ,89.65,0
84,ORD-000084,1273,07-01-2024,Completed,Bank Transfer,Web,Chicago,IL,0,0
85,ORD-000085,2191,07-01-2024,Completed,Digital Wallet,Web,San Antonio,TX,306.9,19.99
86,ORD-000086,2327,07-01-2024,Completed,Digital Wallet,Web,Nashville,TN,3.58,29.99
87,ORD-000087,2561,07-01-2024,Completed,Debit Card,Retail Store,Seattle,WA,286.84,0
88,ORD-000088,2832,07-01-2024,Completed,Credit Card,Web,Phoenix,AZ,240.21,7.99
89,ORD-000089,3032,07-01-2024,Completed,Credit Card,Web,Columbus,OH,33.73,7.99
90,ORD-000090,3977,07-01-2024,Completed,Digital Wallet,Marketplace,San Antonio,TX,9.82,19.99
91,ORD-000091,4326,07-01-2024,Returned,Debit Card,Web,Charlotte,NC,57.97,4.99
92,ORD-000092,5094,07-01-2024,Cancelled,Credit Card,Web,Philadelphia,PA,311.85,29.99
93,ORD-000093,5347,07-01-2024,Completed,Credit Card,Retail Store,Fort Worth,TX,198.82,0
94,ORD-000094,6085,07-01-2024,Completed,Credit Card,Web,New York,NY,117.23,12.99
95,ORD-000095,6168,07-01-2024,Completed,Credit Card,Web,Houston,TX,17.95,4.99
96,ORD-000096,6235,07-01-2024,Completed,Credit Card,Mobile App,New York,NY,183.02,12.99
97,ORD-000097,6511,07-01-2024,Cancelled,Debit Card,Web,Charlotte,NC,0,12.99
98,ORD-000098,6615,07-01-2024,Completed,Bank Transfer,Marketplace,Las Vegas,NV,43.78,19.99
99,ORD-000099,6662,07-01-2024,Completed,Credit Card,Web,Houston,TX,28.5,12.99
100,ORD-000100,7221,07-01-2024,Completed,Credit Card,Web,Chicago,IL,198.07,19.99
101,ORD-000101,7571,07-01-2024,Completed,Credit Card,Mobile App,San Jose,CA,127.57,29.99
102,ORD-000102,7868,07-01-2024,Cancelled,Credit Card,Retail Store,Seattle,WA,0,0
103,ORD-000103,2128,08-01-2024,Completed,Debit Card,Web,Charlotte,NC,13.02,29.99
104,ORD-000104,2785,08-01-2024,Completed,Bank Transfer,Web,San Jose,CA,0,29.99
105,ORD-000105,2846,08-01-2024,Completed,Credit Card,Web,San Jose,CA,110.86,0
106,ORD-000106,3607,08-01-2024,Completed,Credit Card,Marketplace,Boston,MA,162.79,0
107,ORD-000107,5082,08-01-2024,Completed,Credit Card,Retail Store,Chicago,IL,29.44,0
108,ORD-000108,6875,08-01-2024,Completed,Debit Card,Mobile App,Chicago,IL,149.29,4.99
109,ORD-000109,6904,08-01-2024,Completed,Credit Card,Web,Phoenix,AZ,161.26,29.99
110,ORD-000110,7451,08-01-2024,Completed,Credit Card,Mobile App,Jacksonville,FL,17.36,0
111,ORD-000111,7551,08-01-2024,Completed,Credit Card,Marketplace,Chicago,IL,38.61,12.99
112,ORD-000112,902,09-01-2024,Completed,Credit Card,Web,Philadelphia,PA,0,0
113,ORD-000113,952,09-01-2024,Completed,Digital Wallet,Retail Store,Chicago,IL,99.43,0
114,ORD-000114,1020,09-01-2024,Completed,Credit Card,Mobile App,San Jose,CA,191.1,4.99
115,ORD-000115,1063,09-01-2024,Cancelled,Credit Card,Marketplace,Washington,DC,18.39,12.99
116,ORD-000116,1523,09-01-2024,Completed,Credit Card,Web,Seattle,WA,7.36,12.99
117,ORD-000117,2096,09-01-2024,Completed,Debit Card,Web,Portland,OR,35.83,4.99
118,ORD-000118,2511,09-01-2024,Completed,Digital Wallet,Web,Washington,DC,76.76,19.99
119,ORD-000119,3013,09-01-2024,Completed,Debit Card,Mobile App,Phoenix,AZ,80.02,29.99
120,ORD-000120,3434,09-01-2024,Completed,Debit Card,Web,Denver,CO,169.96,12.99
121,ORD-000121,3816,09-01-2024,Completed,Debit Card,Web,Chicago,IL,55.12,19.99
122,ORD-000122,4457,09-01-2024,Cancelled,Debit Card,Mobile App,Phoenix,AZ,68.13,12.99
123,ORD-000123,5013,09-01-2024,Completed,Credit Card,Mobile App,Los Angeles,CA,50.91,12.99
124,ORD-000124,5082,09-01-2024,Completed,Credit Card,Web,Chicago,IL,29.2,7.99
125,ORD-000125,5168,09-01-2024,Completed,Credit Card,Web,Boston,MA,97.55,29.99
126,ORD-000126,5188,09-01-2024,Returned,Credit Card,Web,Chicago,IL,38.77,19.99
127,ORD-000127,5618,09-01-2024,Completed,Debit Card,Web,Fort Worth,TX,123.2,19.99
128,ORD-000128,5977,09-01-2024,Completed,Debit Card,Web,Columbus,OH,80.78,19.99
129,ORD-000129,6216,09-01-2024,Completed,Digital Wallet,Web,San Antonio,TX,81.41,12.99
130,ORD-000130,6220,09-01-2024,Completed,Bank Transfer,Web,Los Angeles,CA,34.44,12.99
131,ORD-000131,7277,09-01-2024,Completed,Debit Card,Web,New York,NY,63.51,7.99
132,ORD-000132,7692,09-01-2024,Completed,Credit Card,Web,Phoenix,AZ,131.92,7.99
133,ORD-000133,7752,09-01-2024,Completed,Digital Wallet,Web,Jacksonville,FL,6.96,12.99
134,ORD-000134,7856,09-01-2024,Cancelled,Debit Card,Web,Chicago,IL,58.82,19.99
135,ORD-000135,1095,10-01-2024,Returned,Credit Card,Mobile App,Philadelphia,PA,71.62,7.99
136,ORD-000136,1310,10-01-2024,Completed,Debit Card,Web,Dallas,TX,101.78,29.99
137,ORD-000137,1910,10-01-2024,Completed,Debit Card,Web,San Jose,CA,27.35,19.99
138,ORD-000138,2129,10-01-2024,Cancelled,Debit Card,Web,Columbus,OH,37.11,29.99
139,ORD-000139,2355,10-01-2024,Completed,Credit Card,Web,San Jose,CA,0,19.99
140,ORD-000140,3669,10-01-2024,Completed,Debit Card,Mobile App,San Antonio,TX,162.34,0
141,ORD-000141,3903,10-01-2024,Completed,Bank Transfer,Web,Philadelphia,PA,0,4.99
142,ORD-000142,3985,10-01-2024,Completed,Digital Wallet,Marketplace,Dallas,TX,66.8,7.99
143,ORD-000143,4567,10-01-2024,Completed,Digital Wallet,Web,Las Vegas,NV,258.02,4.99
144,ORD-000144,5064,10-01-2024,Completed,Digital Wallet,Marketplace,Houston,TX,300.79,29.99
145,ORD-000145,5251,10-01-2024,Completed,Bank Transfer,Web,Houston,TX,251.88,4.99
146,ORD-000146,5330,10-01-2024,Completed,Digital Wallet,Web,Phoenix,AZ,7.33,7.99
147,ORD-000147,5716,10-01-2024,Completed,Credit Card,Mobile App,Houston,TX,38.43,19.99
148,ORD-000148,6536,10-01-2024,Pending,Debit Card,Web,Phoenix,AZ,5.05,19.99
149,ORD-000149,7264,10-01-2024,Completed,Digital Wallet,Mobile App,Chicago,IL,280.13,29.99
150,ORD-000150,7715,10-01-2024,Completed,Debit Card,Web,Chicago,IL,62.52,4.99
151,ORD-000151,317,11-01-2024,Completed,Debit Card,Web,Boston,MA,20.91,0
152,ORD-000152,327,11-01-2024,Completed,Digital Wallet,Web,San Antonio,TX,0,0
153,ORD-000153,337,11-01-2024,Pending,Credit Card,Retail Store,Los Angeles,CA,142.44,0
154,ORD-000154,818,11-01-2024,Completed,Credit Card,Mobile App,Miami,FL,376.94,19.99
155,ORD-000155,945,11-01-2024,Completed,Debit Card,Web,Denver,CO,0,0
156,ORD-000156,1487,11-01-2024,Completed,Credit Card,Web,Dallas,TX,23.45,19.99
157,ORD-000157,1535,11-01-2024,Completed,Credit Card,Web,New York,NY,80.23,29.99
158,ORD-000158,1652,11-01-2024,Completed,Debit Card,Web,Las Vegas,NV,267.29,19.99
159,ORD-000159,2723,11-01-2024,Returned,Digital Wallet,Mobile App,Austin,TX,67.23,19.99
160,ORD-000160,3548,11-01-2024,Completed,Digital Wallet,Retail Store,San Jose,CA,91.44,0
161,ORD-000161,4026,11-01-2024,Completed,Credit Card,Mobile App,Austin,TX,53.35,4.99
162,ORD-000162,4702,11-01-2024,Cancelled,Credit Card,Web,Washington,DC,0,0
163,ORD-000163,5725,11-01-2024,Completed,Credit Card,Mobile App,New York,NY,0,29.99
164,ORD-000164,47,12-01-2024,Completed,Credit Card,Web,Miami,FL,72.74,7.99
165,ORD-000165,132,12-01-2024,Completed,Credit Card,Mobile App,Washington,DC,29.33,0
166,ORD-000166,957,12-01-2024,Completed,Digital Wallet,Marketplace,Nashville,TN,195.38,29.99
167,ORD-000167,1407,12-01-2024,Completed,Digital Wallet,Marketplace,Miami,FL,82.44,0
168,ORD-000168,1704,12-01-2024,Completed,Credit Card,Mobile App,New York,NY,142.5,0
169,ORD-000169,2022,12-01-2024,Completed,Digital Wallet,Retail Store,Chicago,IL,32.5,0
170,ORD-000170,2117,12-01-2024,Completed,Credit Card,Web,San Antonio,TX,44.33,0
171,ORD-000171,2143,12-01-2024,Completed,Debit Card,Web,Charlotte,NC,0,7.99
172,ORD-000172,2610,12-01-2024,Completed,Digital Wallet,Mobile App,Atlanta,GA,24.23,7.99
173,ORD-000173,2966,12-01-2024,Completed,Credit Card,Web,Atlanta,GA,15.15,19.99
174,ORD-000174,3126,12-01-2024,Completed,Digital Wallet,Web,New York,NY,21.89,29.99
175,ORD-000175,3344,12-01-2024,Completed,Debit Card,Marketplace,Philadelphia,PA,120.64,0
176,ORD-000176,5057,12-01-2024,Completed,Bank Transfer,Web,San Antonio,TX,333.02,29.99
177,ORD-000177,5220,12-01-2024,Completed,Credit Card,Web,Miami,FL,101.49,7.99
178,ORD-000178,5965,12-01-2024,Completed,Digital Wallet,Web,Houston,TX,71.14,12.99
179,ORD-000179,6776,12-01-2024,Completed,Debit Card,Retail Store,Atlanta,GA,42.46,0
180,ORD-000180,7867,12-01-2024,Completed,Credit Card,Web,Los Angeles,CA,26.93,29.99
181,ORD-000181,298,13-01-2024,Cancelled,Credit Card,Mobile App,Boston,MA,20.58,29.99
182,ORD-000182,839,13-01-2024,Completed,Digital Wallet,Marketplace,Phoenix,AZ,0,19.99
183,ORD-000183,1253,13-01-2024,Completed,Digital Wallet,Web,Dallas,TX,46.3,4.99
184,ORD-000184,1996,13-01-2024,Completed,Credit Card,Web,Houston,TX,58.29,12.99
185,ORD-000185,2789,13-01-2024,Completed,Digital Wallet,Retail Store,Denver,CO,0,0
186,ORD-000186,3850,13-01-2024,Completed,Debit Card,Retail Store,Nashville,TN,32.62,0
187,ORD-000187,4384,13-01-2024,Completed,Digital Wallet,Web,New York,NY,30.47,0
188,ORD-000188,5188,13-01-2024,Completed,Digital Wallet,Retail Store,Chicago,IL,3.68,0
189,ORD-000189,5367,13-01-2024,Completed,Digital Wallet,Web,San Jose,CA,294.83,4.99
190,ORD-000190,6499,13-01-2024,Completed,Digital Wallet,Web,Seattle,WA,70.72,19.99
191,ORD-000191,6855,13-01-2024,Completed,Digital Wallet,Marketplace,Nashville,TN,16.74,0
192,ORD-000192,388,14-01-2024,Completed,Debit Card,Web,Las Vegas,NV,252.69,0
193,ORD-000193,1756,14-01-2024,Completed,Bank Transfer,Web,Portland,OR,99.54,0
194,ORD-000194,1840,14-01-2024,Completed,Digital Wallet,Marketplace,Los Angeles,CA,101.74,4.99
195,ORD-000195,1850,14-01-2024,Completed,Debit Card,Retail Store,Austin,TX,35.57,0
196,ORD-000196,1862,14-01-2024,Completed,Credit Card,Mobile App,Seattle,WA,34.19,29.99
197,ORD-000197,2590,14-01-2024,Cancelled,Debit Card,Web,Fort Worth,TX,51.25,0
198,ORD-000198,2894,14-01-2024,Completed,Debit Card,Mobile App,Dallas,TX,237.54,4.99
199,ORD-000199,3564,14-01-2024,Completed,Digital Wallet,Marketplace,New York,NY,0,7.99
200,ORD-000200,3617,14-01-2024,Completed,Digital Wallet,Mobile App,Houston,TX,245.57,29.99
201,ORD-000201,3618,14-01-2024,Completed,Credit Card,Mobile App,Austin,TX,0,29.99
202,ORD-000202,3646,14-01-2024,Completed,Credit Card,Retail Store,Seattle,WA,23.36,0
203,ORD-000203,4222,14-01-2024,Completed,Credit Card,Mobile App,Fort Worth,TX,14.66,29.99
204,ORD-000204,4663,14-01-2024,Completed,Bank Transfer,Marketplace,Chicago,IL,85.68,19.99
205,ORD-000205,5348,14-01-2024,Completed,Bank Transfer,Mobile App,Houston,TX,0,12.99
206,ORD-000206,6239,14-01-2024,Completed,Credit Card,Mobile App,Los Angeles,CA,14.88,19.99
207,ORD-000207,6322,14-01-2024,Completed,Credit Card,Web,Los Angeles,CA,6.83,29.99
208,ORD-000208,6721,14-01-2024,Completed,Debit Card,Mobile App,Phoenix,AZ,466.8,4.99
209,ORD-000209,6903,14-01-2024,Completed,Debit Card,Web,New York,NY,233.98,7.99
210,ORD-000210,7107,14-01-2024,Completed,Bank Transfer,Web,San Antonio,TX,37.52,29.99
211,ORD-000211,7950,14-01-2024,Completed,Credit Card,Retail Store,Las Vegas,NV,45.3,0
212,ORD-000212,347,15-01-2024,Completed,Credit Card,Mobile App,Charlotte,NC,28.32,0
213,ORD-000213,355,15-01-2024,Completed,Credit Card,Web,Las Vegas,NV,0,4.99
214,ORD-000214,408,15-01-2024,Completed,Debit Card,Web,Fort Worth,TX,78.63,12.99
215,ORD-000215,661,15-01-2024,Completed,Credit Card,Web,Miami,FL,30.01,4.99
216,ORD-000216,1028,15-01-2024,Completed,Debit Card,Web,San Jose,CA,0,19.99
217,ORD-000217,1454,15-01-2024,Pending,Debit Card,Retail Store,Columbus,OH,0,0
218,ORD-000218,1463,15-01-2024,Completed,Digital Wallet,Mobile App,Chicago,IL,49.74,12.99
219,ORD-000219,2198,15-01-2024,Completed,Digital Wallet,Mobile App,Charlotte,NC,0,29.99
220,ORD-000220,3220,15-01-2024,Cancelled,Credit Card,Web,Philadelphia,PA,20.62,0
221,ORD-000221,3730,15-01-2024,Completed,Debit Card,Web,New York,NY,416.01,4.99
222,ORD-000222,5074,15-01-2024,Completed,Debit Card,Web,New York,NY,314.65,19.99
223,ORD-000223,5154,15-01-2024,Cancelled,Credit Card,Web,Columbus,OH,14.25,4.99
224,ORD-000224,5335,15-01-2024,Completed,Credit Card,Web,Philadelphia,PA,66.63,12.99
225,ORD-000225,5790,15-01-2024,Completed,Credit Card,Mobile App,Phoenix,AZ,12.98,12.99
226,ORD-000226,6873,15-01-2024,Cancelled,Credit Card,Mobile App,Seattle,WA,43.81,29.99
227,ORD-000227,7107,15-01-2024,Completed,Credit Card,Marketplace,San Antonio,TX,45.62,0
228,ORD-000228,7492,15-01-2024,Completed,Digital Wallet,Mobile App,San Jose,CA,18.02,12.99
229,ORD-000229,7494,15-01-2024,Completed,Credit Card,Mobile App,New York,NY,32.83,12.99
230,ORD-000230,7850,15-01-2024,Completed,Debit Card,Mobile App,New York,NY,6.19,12.99
231,ORD-000231,704,16-01-2024,Completed,Debit Card,Web,Nashville,TN,4.74,0
232,ORD-000232,1283,16-01-2024,Returned,Bank Transfer,Web,Denver,CO,206.54,29.99
233,ORD-000233,1388,16-01-2024,Completed,Digital Wallet,Web,Los Angeles,CA,8.68,7.99
234,ORD-000234,1574,16-01-2024,Completed,Digital Wallet,Web,Boston,MA,86.07,0
235,ORD-000235,2076,16-01-2024,Completed,Credit Card,Marketplace,San Antonio,TX,101.27,0
236,ORD-000236,2336,16-01-2024,Completed,Digital Wallet,Web,Chicago,IL,51.75,0
237,ORD-000237,3537,16-01-2024,Completed,Debit Card,Mobile App,Philadelphia,PA,101.98,19.99
238,ORD-000238,3624,16-01-2024,Completed,Debit Card,Web,San Antonio,TX,223.55,19.99
239,ORD-000239,3661,16-01-2024,Completed,Credit Card,Retail Store,San Jose,CA,436.07,0
240,ORD-000240,4174,16-01-2024,Completed,Bank Transfer,Mobile App,New York,NY,311.7,12.99
241,ORD-000241,4182,16-01-2024,Completed,Credit Card,Web,Jacksonville,FL,0,0
242,ORD-000242,4307,16-01-2024,Completed,Credit Card,Marketplace,Los Angeles,CA,2.45,29.99
243,ORD-000243,4946,16-01-2024,Completed,Credit Card,Web,Dallas,TX,154.24,0
244,ORD-000244,4961,16-01-2024,Completed,Digital Wallet,Web,Phoenix,AZ,23.29,0
245,ORD-000245,5229,16-01-2024,Completed,Digital Wallet,Marketplace,Dallas,TX,67.3,4.99
246,ORD-000246,5813,16-01-2024,Completed,Credit Card,Web,Denver,CO,132.79,0
247,ORD-000247,5925,16-01-2024,Completed,Digital Wallet,Mobile App,Phoenix,AZ,0,7.99
248,ORD-000248,6157,16-01-2024,Completed,Digital Wallet,Web,Charlotte,NC,79.03,4.99
249,ORD-000249,7166,16-01-2024,Completed,Digital Wallet,Web,Houston,TX,12.94,4.99
250,ORD-000250,7264,16-01-2024,Completed,Credit Card,Marketplace,Seattle,WA,246.06,0
251,ORD-000251,7550,16-01-2024,Completed,Debit Card,Mobile App,Columbus,OH,0,29.99
252,ORD-000252,7733,16-01-2024,Completed,Credit Card,Web,Fort Worth,TX,60.62,4.99
253,ORD-000253,7863,16-01-2024,Completed,Digital Wallet,Marketplace,New York,NY,94.15,12.99
254,ORD-000254,33,17-01-2024,Completed,Credit Card,Web,Philadelphia,PA,63.63,12.99
255,ORD-000255,150,17-01-2024,Completed,Digital Wallet,Web,Fort Worth,TX,117.76,0
256,ORD-000256,582,17-01-2024,Completed,Credit Card,Marketplace,Jacksonville,FL,29.97,29.99
257,ORD-000257,1228,17-01-2024,Completed,Debit Card,Web,Philadelphia,PA,194.77,0
258,ORD-000258,2854,17-01-2024,Completed,Debit Card,Web,Las Vegas,NV,77.3,0
259,ORD-000259,3192,17-01-2024,Completed,Credit Card,Web,Atlanta,GA,102.69,7.99
260,ORD-000260,4662,17-01-2024,Completed,Credit Card,Mobile App,Phoenix,AZ,294.17,12.99
261,ORD-000261,5221,17-01-2024,Completed,Debit Card,Retail Store,Las Vegas,NV,0,0
262,ORD-000262,7214,17-01-2024,Completed,Bank Transfer,Marketplace,Seattle,WA,28.36,0
263,ORD-000263,298,18-01-2024,Completed,Credit Card,Marketplace,Boston,MA,9.2,0
264,ORD-000264,810,18-01-2024,Completed,Digital Wallet,Web,Nashville,TN,71.45,4.99
265,ORD-000265,1135,18-01-2024,Completed,Debit Card,Marketplace,Houston,TX,24.26,29.99
266,ORD-000266,1283,18-01-2024,Completed,Debit Card,Mobile App,Denver,CO,66.17,7.99
267,ORD-000267,1773,18-01-2024,Completed,Digital Wallet,Web,San Diego,CA,130.25,7.99
268,ORD-000268,2019,18-01-2024,Completed,Digital Wallet,Marketplace,Houston,TX,0,0
269,ORD-000269,2030,18-01-2024,Completed,Credit Card,Mobile App,Dallas,TX,9.71,0
270,ORD-000270,2985,18-01-2024,Completed,Credit Card,Web,Columbus,OH,53.48,0
271,ORD-000271,3550,18-01-2024,Completed,Credit Card,Marketplace,Denver,CO,118.77,0
272,ORD-000272,4797,18-01-2024,Completed,Debit Card,Mobile App,Houston,TX,0,12.99
273,ORD-000273,5347,18-01-2024,Completed,Credit Card,Retail Store,Fort Worth,TX,394.78,0
274,ORD-000274,5380,18-01-2024,Completed,Credit Card,Marketplace,Houston,TX,41.48,7.99
275,ORD-000275,6873,18-01-2024,Completed,Digital Wallet,Marketplace,Seattle,WA,56.48,7.99
276,ORD-000276,6914,18-01-2024,Completed,Credit Card,Marketplace,Houston,TX,50.43,29.99
277,ORD-000277,7556,18-01-2024,Completed,Digital Wallet,Web,Charlotte,NC,4.6,4.99
278,ORD-000278,7622,18-01-2024,Completed,Credit Card,Mobile App,Dallas,TX,24.54,19.99
279,ORD-000279,872,19-01-2024,Pending,Credit Card,Retail Store,New York,NY,0,0
280,ORD-000280,989,19-01-2024,Completed,Credit Card,Web,Nashville,TN,5.45,7.99
281,ORD-000281,1019,19-01-2024,Completed,Credit Card,Web,Houston,TX,88.73,4.99
